ID,Title,Author,Genre,PublishDateOriginal,PublishDate,Publisher,Format,Illustrator,TotalPages,Rating,Status,MSRP ,SpecialEdition,ISBN
,Dragon Ball Z Vol. 18,Akira Toriyama,Shonen,"January 4th, 2005",2005-01-04,VIZ Media LLC,Paperback,Akira Toriyama,181,4.9/5,Yes,$9.99 ,No,978-1-59116-637-5
,Dragon Ball Z Vol. 19,Akira Toriyama,Shonen,"April 5th, 2005",2005-04-05,VIZ Media LLC,Paperback,Akira Toriyama,179,5.0/5,Yes,$9.99 ,No,978-1-59116-751-8
,Dragon Ball Z Vol. 20,Akira Toriyama,Shonen,"May 31st, 2005",2005-05-31,VIZ Media LLC,Paperback,Akira Toriyama,177,5.0/5,Yes,$9.99 ,No,978-1-59116-808-9
,Dragon Ball Z Vol. 21,Akira Toriyama,Shonen,"August 2nd, 2005",2005-08-02,VIZ Media LLC,Paperback,Akira Toriyama,191,3.75/5,Yes,$9.99 ,No,978-1-59116-873-7
,Dragon Ball Z Vol. 22,Akira Toriyama,Shonen,"October 10th, 2005",2005-10-10,VIZ Media LLC,Paperback,Akira Toriyama,191,5.0/5,Yes,$9.99 ,No,978-1-4215-0051-5
,Dragon Ball Z Vol. 23,Akira Toriyama,Shonen,"December 5th, 2005",2005-12-05,VIZ Media LLC,Paperback,Akira Toriyama,181,4.5/5,Yes,$9.99 ,No,978-1-4215-0148-2
,Dragon Ball Z Vol. 24,Akira Toriyama,Shonen,"February 7th, 2006",2006-02-07,VIZ Media LLC,Paperback,Akira Toriyama,181,4.4/5,Yes,$9.99 ,No,978-1-4215-0273-1
,Dragon Ball Z Vol. 25,Akira Toriyama,Shonen,"April 4th, 2006",2006-04-04,VIZ Media LLC,Paperback,Akira Toriyama,235,4.25/5,Yes,$9.99 ,No,978-1-4215-0404-9
,Dragon Ball Z Vol. 26,Akira Toriyama,Shonen,"June 6th, 2006",2006-06-06,VIZ Media LLC,Paperback,Akira Toriyama,243,4.5/5,Yes,$9.99 ,No,978-1-4215-0636-4
,The Autobiography of Nikola Tesla and Other Works,Nikola Tesla & Thomas Commerford Martin,Autobiography,"December 21st, 2021",2021-12-21,Canterbury Classics,Hardcover,N/A,742,N/A,No,$24.99 ,Leatherbound Costco,978-1-64517-438-7
,Diary of a Wimpy Kid #1,Jeff Kinney,Comedy,"April 1st, 2007",2007-04-01,Amulet Books,Hardcover,Jeff Kinney,217,4.5/5,Yes,$14.99 ,No,978-1-4197-4185-2
,Diary of a Wimpy Kid #2: Rodrick Rules,Jeff Kinney,Comedy,"February 1st, 2008",2008-02-01,Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$14.99 ,No,978-1-4197-4186-9
,Diary of a Wimpy Kid #3: The Last Straw,Jeff Kinney,Comedy,"January 1st, 2009",2009-01-01,Amulet Books,Hardcover,Jeff Kinney,217,4.75/5,Yes,$13.95 ,No,978-0-8109-7068-7
,Diary of a Wimpy Kid #4: Dog Days,Jeff Kinney,Comedy,"October 12th, 2009",2009-10-12,Amulet Books,Hardcover,Jeff Kinney,217,3.75/5,Yes,$13.95 ,No,978-0-8109-8391-5
,Diary of a Wimpy Kid #5: The Ugly Truth,Jeff Kinney,Comedy,"November 9th, 2010",2010-11-09,Amulet Books,Hardcover,Jeff Kinney,217,4.85/5,Yes,$13.95 ,No,978-0-8109-8491-2
,Diary of a Wimpy Kid #6: Cabin Fever,Jeff Kinney,Comedy,"November 15th, 2011",2011-11-15,Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$13.95 ,No,978-1-4197-0223-5
,Diary of a Wimpy Kid #7: The Third Wheel ,Jeff Kinney,Comedy,"November 13th, 2012",2012-11-13,Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.49 ,No,978-1-4197-0729-2
,Diary of a Wimpy Kid #8: Hard Luck,Jeff Kinney,Comedy,"November 5th, 2013",2013-11-05,Amulet Books,Paperback,Jeff Kinney,217,3.5/5,Yes,$8.99 ,No,978-1-4197-1176-3
,Diary of a Wimpy Kid #9: The Long Haul,Jeff Kinney,Comedy,"November 4th, 2014",2014-11-04,Amulet Books,Paperback,Jeff Kinney,217,4.25/5,Yes,$8.99 ,No,978-1-4197-1499-3
,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,Comedy,"November 3rd, 2015",2015-11-03,Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.99 ,No,978-1-4197-1961-5
,Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,Comedy,"November 1st, 2016",2016-11-01,Amulet Books,Paperback,Jeff Kinney,217,N/A,No,$8.99 ,No,978-1-4197-2486-2
,Diary of a Wimpy Kid #12: The Getaway,Jeff Kinney,Comedy,"November 7th, 2017",2017-11-07,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$13.95 ,No,978-1-4197-2545-6
,Diary of a Wimpy Kid #13: The Meltdown,Jeff Kinney,Comedy,"October 30th, 2018",2018-10-30,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$13.95 ,No,978-1-4197-2743-6
,Diary of a Wimpy Kid #14: Wrecking Ball,Jeff Kinney,Comedy,"November 5th, 2019",2019-11-05,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,No,978-1-4197-3903-3
,Diary of a Wimpy Kid #15: The Deep End ,Jeff Kinney,Comedy,"October 27th, 2020",2020-10-27,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,No,978-1-4197-4868-4
